consent_item,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,0,0,0,0,23.991884179995395,y,145.63219930895139,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,0,1,1,1,171.64737512299325,y,0.7843864029273391,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,0,2,2,2,174.43682084896136,y,0.09148647089023143,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,0,3,3,3,176.55212972697336,y,10.716504456941038,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,0,4,4,4,189.2881799370516,y,0.018092936952598393,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,0,5,5,5,191.3342460290296,y,0.15886407892685384,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,,,,,,,,,,,,193.5794317589607,193.5794317589607,193.5794317589607,193.5794317589607,193.5794317589607,193.5794317589607,193.5794317589607,3.4843295209575444,20,5.0,3.4708248709794134,,0.03958333333333333,-0.38229166666666664,1,0,0,continue_box_2,,,,,2023-03-13_18h48.59.583,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
