consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text1.started,scales_images.started,add_question_text2.started,next_slide_text.started,spacebar_continue_7.started,scale_slider.response,spacebar_continue_7.keys,spacebar_continue_7.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,22.907187173957936,y,0.056442089029587805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,25.078483553021215,y,0.01831608102656901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,27.020842878031544,y,0.1266731210052967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,29.169383171014488,y,0.0024547380162402987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,31.20950862893369,y,0.16893562499899417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,33.40141390496865,y,0.15815397608093917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.63089306792244,35.63089306792244,35.63089306792244,35.63089306792244,35.63089306792244,35.63089306792244,35.63089306792244,8.884566609980538,20,5.0,8.871455100015737,,0.07291666666666667,-0.4114583333333333,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,50.36840080295224,50.36840080295224,50.36840080295224,50.36840080295224,50.36840080295224,50.36840080295224,50.36840080295224,50.36840080295224,50.36840080295224,52.35149955493398,space,0.1435780740575865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.52056326193269,52.52056326193269,52.52056326193269,52.52056326193269,52.52056326193269,52.52056326193269,52.52056326193269,52.52056326193269,52.52056326193269,54.50124385696836,space,0.10278225596994162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6391242420068,54.6391242420068,54.6391242420068,54.6391242420068,54.6391242420068,54.6391242420068,54.6391242420068,54.6391242420068,54.6391242420068,56.63477916398551,space,0.01668534509371966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.672502254950814,56.672502254950814,56.672502254950814,56.672502254950814,56.672502254950814,56.672502254950814,56.672502254950814,56.672502254950814,56.672502254950814,58.668164134025574,space,0.01675389800220728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.70707783801481,58.70707783801481,58.70707783801481,58.70707783801481,58.70707783801481,58.70707783801481,58.70707783801481,58.70707783801481,58.70707783801481,60.70107621292118,space,0.1638532580109313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88740330701694,60.88740330701694,60.88740330701694,60.88740330701694,60.88740330701694,60.88740330701694,60.88740330701694,60.88740330701694,60.88740330701694,62.88463354401756,space,0.13630678202025592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.05379087594338,63.05379087594338,63.05379087594338,63.05379087594338,63.05379087594338,63.05379087594338,63.05379087594338,63.05379087594338,63.05379087594338,65.05132404703181,space,0.20632068696431816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.28707228798885,65.28707228798885,65.28707228798885,65.28707228798885,65.28707228798885,65.28707228798885,65.28707228798885,65.28707228798885,65.28707228798885,67.28472687292378,space,0.03653615806251764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,59,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cs,images/pointed_maps_images/19cs.jpeg,,,,,,,,,,,,,0,0,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.43153688800521,67.43153688800521,67.43153688800521,67.43153688800521,67.43153688800521,68.78423723299056,1.775,1.3669555899687111,space,0.12460896908305585,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,28,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cs,images/pointed_maps_images/8cs.jpeg,,,,,,,,,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.94312299601734,68.94312299601734,68.94312299601734,68.94312299601734,68.94312299601734,69.10144529899117,1.775,0.1413406339706853,space,0.08782041911035776,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,45,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5is,images/pointed_maps_images/5is.jpeg,,,,,,,,,,,,,0,2,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2236894959351,69.2236894959351,69.2236894959351,69.2236894959351,69.2236894959351,69.36813381197862,1.775,0.2596924559911713,space,0.11701603105757385,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,30,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10is,images/pointed_maps_images/10is.jpeg,,,,,,,,,,,,,0,3,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.52639768994413,69.52639768994413,69.52639768994413,69.52639768994413,69.52639768994413,69.65112007700372,1.775,0.24075979203917086,space,0.13212250906508416,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,39,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19in,images/pointed_maps_images/19in.jpeg,,,,,,,,,,,,,0,4,4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81015138793737,69.81015138793737,69.81015138793737,69.81015138793737,69.81015138793737,69.93483717693016,1.775,0.10829737898893654,space,0.016949327080510557,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,55,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cs,images/pointed_maps_images/15cs.jpeg,,,,,,,,,,,,,0,5,5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.99388235702645,69.99388235702645,69.99388235702645,69.99388235702645,69.99388235702645,70.05138941295445,1.775,0.040344325941987336,space,0.030448490055277944,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,54,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14in,images/pointed_maps_images/14in.jpeg,,,,,,,,,,,,,0,6,6,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.11310958396643,70.11310958396643,70.11310958396643,70.11310958396643,70.11310958396643,70.20145493291784,1.775,0.07429331203456968,space,0.026295688119716942,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,19,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19is,images/pointed_maps_images/19is.jpeg,,,,,,,,,,,,,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.26313075900543,70.26313075900543,70.26313075900543,70.26313075900543,70.26313075900543,70.3348528459901,1.775,0.05712224403396249,space,0.03952194401063025,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,60,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cn,images/pointed_maps_images/20cn.jpeg,,,,,,,,,,,,,0,8,8,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.41166566393804,70.41166566393804,70.41166566393804,70.41166566393804,70.41166566393804,70.45148665097076,1.775,0.026408324018120766,space,0.07433341001160443,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,11,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11is,images/pointed_maps_images/11is.jpeg,,,,,,,,,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.56170545099303,70.56170545099303,70.56170545099303,70.56170545099303,70.56170545099303,70.60064538801089,1.775,0.028846703004091978,space,0.07913835998624563,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,12,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12in,images/pointed_maps_images/12in.jpeg,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.70968920993619,70.70968920993619,70.70968920993619,70.70968920993619,70.70968920993619,70.85109491599724,1.775,0.2574325400637463,space,0.16230156808160245,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,47,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7cs,images/pointed_maps_images/7cs.jpeg,,,,,,,,,,,,,0,11,11,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0463124109665,71.0463124109665,71.0463124109665,71.0463124109665,71.0463124109665,71.11774237197824,1.775,0.05717520695179701,space,0.06708488694857806,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,18,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cn,images/pointed_maps_images/18cn.jpeg,,,,,,,,,,,,,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.21640642301645,71.21640642301645,71.21640642301645,71.21640642301645,71.21640642301645,71.25088093802333,1.775,0.032182166003622115,space,0.08851907902862877,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,5,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5cs,images/pointed_maps_images/5cs.jpeg,,,,,,,,,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.37644026998896,71.37644026998896,71.37644026998896,71.37644026998896,71.37644026998896,71.40091143292375,1.775,0.016058322973549366,space,0.12317446700762957,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,52,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12cn,images/pointed_maps_images/12cn.jpeg,,,,,,,,,,,,,0,14,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5579748309683,71.5579748309683,71.5579748309683,71.5579748309683,71.5579748309683,71.70128881500568,1.775,0.28971182997338474,space,0.1622163300635293,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,21,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cn,images/pointed_maps_images/1cn.jpeg,,,,,,,,,,,,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.89603498391807,71.89603498391807,71.89603498391807,71.89603498391807,71.89603498391807,72.00134543597233,1.775,0.09059499693103135,space,0.0308023770339787,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,38,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18is,images/pointed_maps_images/18is.jpeg,,,,,,,,,,,,,0,16,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.06324465095531,72.06324465095531,72.06324465095531,72.06324465095531,72.06324465095531,72.15103244793136,1.775,0.07392333901952952,space,0.045244909008033574,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,1,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cs,images/pointed_maps_images/1cs.jpeg,,,,,,,,,,,,,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22650959400926,72.22650959400926,72.22650959400926,72.22650959400926,72.22650959400926,72.31811920099426,1.775,0.07613482198212296,space,0.03662906202953309,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,23,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3in,images/pointed_maps_images/3in.jpeg,,,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.39541029697284,72.39541029697284,72.39541029697284,72.39541029697284,72.39541029697284,72.46818429999985,1.775,0.0559973600320518,space,0.0484420059947297,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,8,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8in,images/pointed_maps_images/8in.jpeg,,,,,,,,,,,,,0,19,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.54617804998998,72.54617804998998,72.54617804998998,72.54617804998998,72.54617804998998,72.617863958003,1.775,0.05695924395695329,space,0.07515902502927929,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,73,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13in,images/pointed_maps_images/13in.jpeg,,,,,,,,,,,,,0,20,20,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.73264129494783,72.73264129494783,72.73264129494783,72.73264129494783,72.73264129494783,72.76740379899275,1.775,0.030876564094796777,space,0.08310337702278048,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,41,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1is,images/pointed_maps_images/1is.jpeg,,,,,,,,,,,,,0,21,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.87818263599183,72.87818263599183,72.87818263599183,72.87818263599183,72.87818263599183,73.10126597294584,1.775,0.20723115501459688,space,0.10091859311796725,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,53,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13is,images/pointed_maps_images/13is.jpeg,,,,,,,,,,,,,0,22,22,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.24245574197266,73.24245574197266,73.24245574197266,73.24245574197266,73.24245574197266,73.40127135196235,1.775,0.2916280119679868,space,0.15831104398239404,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,43,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3cs,images/pointed_maps_images/3cs.jpeg,,,,,,,,,,,,,0,23,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.59593606600538,73.59593606600538,73.59593606600538,73.59593606600538,73.59593606600538,73.73443619394675,1.775,0.12352110701613128,space,0.0206404160708189,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
,,,,,,74,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cs,images/pointed_maps_images/14cs.jpeg,,,,,,,,,,,,,0,24,24,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.79517661302816,73.79517661302816,73.79517661302816,73.79517661302816,73.79517661302816,73.88463312597014,1.775,0.0738201979547739,space,0.02884368202649057,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h38.24.030,BZ,2022.2.4,None,
