consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.39450872299494,66.39450872299494,66.39450872299494,66.39450872299494,66.39450872299494,66.39450872299494,66.39450872299494,3.7687597059994005,20,5.0,3.7387200600351207,,0.009722222222222222,-0.3875,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,76.18294017302105,76.18294017302105,76.18294017302105,76.18294017302105,76.18294017302105,76.18294017302105,76.18294017302105,76.18294017302105,76.18294017302105,78.13366873603081,space,0.1327315479866229,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.29004539101152,78.29004539101152,78.29004539101152,78.29004539101152,78.29004539101152,78.29004539101152,78.29004539101152,78.29004539101152,78.29004539101152,80.28375807998236,space,0.4018984319991432,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7269000330125,80.7269000330125,80.7269000330125,80.7269000330125,80.7269000330125,80.7269000330125,80.7269000330125,80.7269000330125,80.7269000330125,82.71688782400452,space,0.149389639031142,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89295013103401,82.89295013103401,82.89295013103401,82.89295013103401,82.89295013103401,82.89295013103401,82.89295013103401,82.89295013103401,82.89295013103401,84.88386722502764,space,0.13079664105316624,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0457022379851,85.0457022379851,85.0457022379851,85.0457022379851,85.0457022379851,85.0457022379851,85.0457022379851,85.0457022379851,85.0457022379851,87.03326916601509,space,0.3440859180409461,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.40865115000634,87.40865115000634,87.40865115000634,87.40865115000634,87.40865115000634,87.40865115000634,87.40865115000634,87.40865115000634,87.40865115000634,89.40004875703016,space,0.19522717304062098,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6280882669962,89.6280882669962,89.6280882669962,89.6280882669962,89.6280882669962,89.6280882669962,89.6280882669962,89.6280882669962,89.6280882669962,91.61649119301,space,0.04536218201974407,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.68973225698574,91.68973225698574,91.68973225698574,91.68973225698574,91.68973225698574,91.68973225698574,91.68973225698574,91.68973225698574,91.68973225698574,93.68330159201287,space,0.07156648096861318,,,,,,,,,,,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,30,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10is,images/all_images/10is.jpeg,,,,,,,,,,,,,0,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.89664361497853,93.89664361497853,93.89664361497853,93.89664361497853,93.89664361497853,96.166607347026,1.6444444444444444,2.2927951370365918,space,0.37462944601429626,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,37,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17cn,images/all_images/17cn.jpeg,,,,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.59262742800638,96.59262742800638,96.59262742800638,96.59262742800638,96.59262742800638,97.33327621303033,1.3416666666666668,0.7356471390230581,space,0.12735960097052157,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,46,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6in,images/all_images/6in.jpeg,,,,,,,,,,,,,0,2,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.510620510031,97.510620510031,97.510620510031,97.510620510031,97.510620510031,98.20011670701206,1.5944444444444446,0.6864310540258884,space,0.2718438060255721,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,70,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10cs,images/all_images/10cs.jpeg,,,,,,,,,,,,,0,3,3,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.52341191202868,98.52341191202868,98.52341191202868,98.52341191202868,98.52341191202868,99.3998356150114,1.2305555555555556,0.8692667839932255,space,0.1921763550490141,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,43,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3cs,images/all_images/3cs.jpeg,,,,,,,,,,,,,0,4,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.66677435202291,99.66677435202291,99.66677435202291,99.66677435202291,99.66677435202291,100.26642580202315,1.6444444444444444,0.6038795500062406,space,0.20338572503533214,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,75,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cn,images/all_images/15cn.jpeg,,,,,,,,,,,,,0,5,5,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52453703602077,100.52453703602077,100.52453703602077,100.52453703602077,100.52453703602077,101.9497566089849,1.838888888888889,1.4194123069755733,space,0.18251854903064668,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,51,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cs,images/all_images/11cs.jpeg,,,,,,,,,,,,,0,6,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.17797162901843,102.17797162901843,102.17797162901843,102.17797162901843,102.17797162901843,102.98373266297858,1.3277777777777777,0.8046593180042692,space,0.28399447904666886,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,24,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cs,images/all_images/4cs.jpeg,,,,,,,,,,,,,0,7,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.32569282100303,103.32569282100303,103.32569282100303,103.32569282100303,103.32569282100303,103.9664475970203,1.8277777777777777,0.632888243009802,space,0.45692069100914523,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,77,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17in,images/all_images/17in.jpeg,,,,,,,,,,,,,0,8,8,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.47683096403489,104.47683096403489,104.47683096403489,104.47683096403489,104.47683096403489,105.06653970299521,1.5,0.5841156910173595,space,0.512058314983733,,,,2023-02-21_14h11.08.689,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.62906383001246,105.62906383001246,105.62906383001246,105.62906383001246,105.62906383001246,,,,,,,,,,,,,
