consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text1.started,scales_images.started,add_question_text2.started,next_slide_text.started,spacebar_continue_7.started,scale_slider.response,spacebar_continue_7.keys,spacebar_continue_7.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,total_duration,participant,date,expName,psychopyVersion,frameRate,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,621.0979769499972,y,0.20362082600331632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,623.3223861079969,y,9.566049336004653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,634.8973666710008,y,1.2263672960034455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.2109370139951,638.2109370139951,638.2109370139951,638.2109370139951,638.2109370139951,638.2109370139951,638.2109370139951,5.0370124420005595,20,5.0,5.02393212300376,,0.009375,-0.396875,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,649.3711033689979,649.3711033689979,649.3711033689979,649.3711033689979,649.3711033689979,649.3711033689979,649.3711033689979,649.3711033689979,649.3711033689979,651.3474465209947,space,0.10090296100679552,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.4826380529994,651.4826380529994,651.4826380529994,651.4826380529994,651.4826380529994,651.4826380529994,651.4826380529994,651.4826380529994,651.4826380529994,653.4809899449974,space,1.803241050001816,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.320613580996,655.320613580996,655.320613580996,655.320613580996,655.320613580996,655.320613580996,655.320613580996,655.320613580996,655.320613580996,657.3141351140002,space,14.101311359001556,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.447642166997,671.447642166997,671.447642166997,671.447642166997,671.447642166997,671.447642166997,671.447642166997,671.447642166997,671.447642166997,673.430948561996,space,19.445708704995923,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.9006938289967,692.9006938289967,692.9006938289967,692.9006938289967,692.9006938289967,692.9006938289967,692.9006938289967,692.9006938289967,692.9006938289967,694.8804078629983,space,3.585230971002602,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.4969527430003,698.4969527430003,698.4969527430003,698.4969527430003,698.4969527430003,698.4969527430003,698.4969527430003,698.4969527430003,698.4969527430003,700.4800953890008,space,0.11730923400318716,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.632710095997,700.632710095997,700.632710095997,700.632710095997,700.632710095997,700.632710095997,700.632710095997,700.632710095997,700.632710095997,702.6301321439969,space,0.13670147500670282,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.7977224099959,702.7977224099959,702.7977224099959,702.7977224099959,702.7977224099959,702.7977224099959,702.7977224099959,702.7977224099959,702.7977224099959,704.7799128479965,space,0.02952700400055619,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,2,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cn,images/pointed_maps_images/2cn.jpeg,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.9141196220007,704.9141196220007,704.9141196220007,704.9141196220007,704.9141196220007,708.1969223829947,1.9708333333333332,3.294689135000226,space,0.10237045200483408,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,77,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17in,images/pointed_maps_images/17in.jpeg,,,,,,,,,,,,,0,1,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.3434870019992,708.3434870019992,708.3434870019992,708.3434870019992,708.3434870019992,709.6301397739953,1.9625,1.2688907569972798,space,0.07015438300004462,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,6,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cn,images/pointed_maps_images/6cn.jpeg,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.7393415240003,709.7393415240003,709.7393415240003,709.7393415240003,709.7393415240003,711.6128773969976,1.5979166666666667,1.8546745179992286,space,0.06345800700364634,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,59,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cs,images/pointed_maps_images/19cs.jpeg,,,,,,,,,,,,,0,3,3,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7042089299939,711.7042089299939,711.7042089299939,711.7042089299939,711.7042089299939,714.996468420999,1.0,3.276345450001827,space,0.3799150550039485,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,76,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16is,images/pointed_maps_images/16is.jpeg,,,,,,,,,,,,,0,4,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.4074472829961,715.4074472829961,715.4074472829961,715.4074472829961,715.4074472829961,718.8468488929939,1.36875,3.424075635994086,space,0.12154515399743104,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,78,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cs,images/pointed_maps_images/18cs.jpeg,,,,,,,,,,,,,0,5,5,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.0046865569966,719.0046865569966,719.0046865569966,719.0046865569966,719.0046865569966,730.7133344559988,1.3666666666666667,11.689237165999657,space,0.8854443250020267,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,12,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12in,images/pointed_maps_images/12in.jpeg,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.6409879540006,731.6409879540006,731.6409879540006,731.6409879540006,731.6409879540006,819.2293045249971,1.5416666666666665,87.56900526199752,space,0.3541325740006869,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,49,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9is,images/pointed_maps_images/9is.jpeg,,,,,,,,,,,,,0,7,7,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.6188541219963,819.6188541219963,819.6188541219963,819.6188541219963,819.6188541219963,820.0957679909989,1.6208333333333333,0.4584285050004837,space,0.04932161999749951,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,71,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cn,images/pointed_maps_images/11cn.jpeg,,,,,,,,,,,,,0,8,8,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.1796013989951,820.1796013989951,820.1796013989951,820.1796013989951,820.1796013989951,820.3626242469982,1.6229166666666668,0.17077621499629458,space,0.06801083699974697,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,1,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cs,images/pointed_maps_images/1cs.jpeg,,,,,,,,,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.4776098899965,820.4776098899965,820.4776098899965,820.4776098899965,820.4776098899965,820.645926571,1.6229166666666668,0.27094298399606487,space,0.09610834300110582,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,45,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5is,images/pointed_maps_images/5is.jpeg,,,,,,,,,,,,,0,10,10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.773941763,820.773941763,820.773941763,820.773941763,820.773941763,820.9123351649978,1.6229166666666668,0.2723588649969315,space,0.13604895200114697,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,40,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cs,images/pointed_maps_images/20cs.jpeg,,,,,,,,,,,,,0,11,11,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.0878566629981,821.0878566629981,821.0878566629981,821.0878566629981,821.0878566629981,821.1955720109981,1.6229166666666668,0.22459795900067547,space,0.10449836500629317,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,8,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8in,images/pointed_maps_images/8in.jpeg,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.3402809549953,821.3402809549953,821.3402809549953,821.3402809549953,821.3402809549953,821.4617535590005,1.6229166666666668,0.23714409199601505,space,0.13716357600060292,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,57,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17is,images/pointed_maps_images/17is.jpeg,,,,,,,,,,,,,0,13,13,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.6378763389948,821.6378763389948,821.6378763389948,821.6378763389948,821.6378763389948,821.7622744369946,1.6229166666666668,0.23998784799914574,space,0.1464490270082024,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,3,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3is,images/pointed_maps_images/3is.jpeg,,,,,,,,,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.9394913729993,821.9394913729993,821.9394913729993,821.9394913729993,821.9394913729993,822.0458293619959,1.6229166666666668,0.09184318600455299,space,0.03562345100363018,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,9,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9cs,images/pointed_maps_images/9cs.jpeg,,,,,,,,,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.1203107099936,822.1203107099936,822.1203107099936,822.1203107099936,822.1203107099936,822.195808081,1.6229166666666668,0.05960281599982409,space,0.05102867900131969,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,28,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cs,images/pointed_maps_images/8cs.jpeg,,,,,,,,,,,,,0,16,16,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.2944292299944,822.2944292299944,822.2944292299944,822.2944292299944,822.2944292299944,822.3457341719986,1.6229166666666668,0.03909577499871375,space,0.043572501999733504,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,46,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6in,images/pointed_maps_images/6in.jpeg,,,,,,,,,,,,,0,17,17,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.4309956819998,822.4309956819998,822.4309956819998,822.4309956819998,822.4309956819998,822.5285566219973,1.6229166666666668,0.08539056099834852,space,0.023181491997092962,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,26,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6is,images/pointed_maps_images/6is.jpeg,,,,,,,,,,,,,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.5849226589999,822.5849226589999,822.5849226589999,822.5849226589999,822.5849226589999,822.6457543039942,1.6229166666666668,0.04088921799848322,space,1.3366434170020511,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,50,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10in,images/pointed_maps_images/10in.jpeg,,,,,,,,,,,,,0,19,19,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.022562950995,824.022562950995,824.022562950995,824.022562950995,824.022562950995,824.0456705599936,1.6229166666666668,0.01657789399905596,space,0.1431729859978077,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,60,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cn,images/pointed_maps_images/20cn.jpeg,,,,,,,,,,,,,0,20,20,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.2245773859977,824.2245773859977,824.2245773859977,824.2245773859977,824.2245773859977,824.2456887289954,1.6229166666666668,0.14233683900238248,space,0.11643275099777384,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,18,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cn,images/pointed_maps_images/18cn.jpeg,,,,,,,,,,,,,0,21,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.3898727609994,824.3898727609994,824.3898727609994,824.3898727609994,824.3898727609994,824.5461190889982,1.6229166666666668,0.29055543200229295,space,0.141205608000746,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,35,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15in,images/pointed_maps_images/15in.jpeg,,,,,,,,,,,,,0,22,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.7292627829956,824.7292627829956,824.7292627829956,824.7292627829956,824.7292627829956,824.8452758919957,1.6229166666666668,0.10245271699386649,space,0.001129477001086343,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,41,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1is,images/pointed_maps_images/1is.jpeg,,,,,,,,,,,,,0,23,23,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.8939033019997,824.8939033019997,824.8939033019997,824.8939033019997,824.8939033019997,824.9956878039957,1.6229166666666668,0.08714638700621435,space,0.005737838000641204,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,10,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10cn,images/pointed_maps_images/10cn.jpeg,,,,,,,,,,,,,0,24,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0390040450002,825.0390040450002,825.0390040450002,825.0390040450002,825.0390040450002,825.1458198029941,1.6229166666666668,0.09057950500573497,space,0.0016462550047435798,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,24,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cs,images/pointed_maps_images/4cs.jpeg,,,,,,,,,,,,,0,25,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.1940994749966,825.1940994749966,825.1940994749966,825.1940994749966,825.1940994749966,825.2957098569968,1.6229166666666668,0.08801666199724423,space,0.011615082003118005,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,75,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cn,images/pointed_maps_images/15cn.jpeg,,,,,,,,,,,,,0,26,26,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.3454742269969,825.3454742269969,825.3454742269969,825.3454742269969,825.3454742269969,825.462008163995,1.6229166666666668,0.25365487900126027,space,0.16217627399601042,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,30,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10is,images/pointed_maps_images/10is.jpeg,,,,,,,,,,,,,0,27,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.660620194998,825.660620194998,825.660620194998,825.660620194998,825.660620194998,825.7790980719947,1.6229166666666668,0.27366068700212054,space,0.15949458999966737,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,56,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16cn,images/pointed_maps_images/16cn.jpeg,,,,,,,,,,,,,0,28,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.9783220280005,825.9783220280005,825.9783220280005,825.9783220280005,825.9783220280005,826.1120815429967,1.6229166666666668,0.2718421639947337,space,0.14386540299892658,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
,,,,,,22,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2is,images/pointed_maps_images/2is.jpeg,,,,,,,,,,,,,0,29,29,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.2891037230002,826.2891037230002,826.2891037230002,826.2891037230002,826.2891037230002,826.4457788449945,1.6229166666666668,0.2917787810001755,space,0.13860114700219128,,,,,,,,,,,,,,,,,,01,2023-03-29_15h22.22.758,BZ,2022.2.4,None,
