consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text.started,scales_images.started,text_4.started,next_slide_text.started,key_resp_3.started,scale_slider.response,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.91287075099535,181.91287075099535,181.91287075099535,181.91287075099535,181.91287075099535,181.91287075099535,181.91287075099535,181.91287075099535,181.91287075099535,183.8935138740344,space,0.09959477512165904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.01853052095976,184.01853052095976,184.01853052095976,184.01853052095976,184.01853052095976,184.01853052095976,184.01853052095976,184.01853052095976,184.01853052095976,186.01067281805445,space,0.05971000995486975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.09964610496536,186.09964610496536,186.09964610496536,186.09964610496536,186.09964610496536,186.09964610496536,186.09964610496536,186.09964610496536,186.09964610496536,188.0943012679927,space,14.056933603947982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.1838499660371,202.1838499660371,202.1838499660371,202.1838499660371,202.1838499660371,202.1838499660371,202.1838499660371,202.1838499660371,202.1838499660371,204.17713463003747,space,0.28674252703785896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.4960498700384,204.4960498700384,204.4960498700384,204.4960498700384,204.4960498700384,204.4960498700384,204.4960498700384,204.4960498700384,204.4960498700384,206.47708147903904,space,0.1902384819695726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.69904373807367,206.69904373807367,206.69904373807367,206.69904373807367,206.69904373807367,206.69904373807367,206.69904373807367,206.69904373807367,206.69904373807367,208.6772256679833,space,0.06952514394652098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.777973117074,208.777973117074,208.777973117074,208.777973117074,208.777973117074,208.777973117074,208.777973117074,208.777973117074,208.777973117074,210.7603838799987,space,0.2670473949983716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,57,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17is,images/all_images/17is.jpeg,,,,,,,,,,,,,0,0,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.14031553803943,211.14031553803943,211.14031553803943,211.14031553803943,211.14031553803943,212.17696971306577,1.6520833333333333,1.053234476945363,space,0.18316756002604961,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,23,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3in,images/all_images/3in.jpeg,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.39349508902524,212.39349508902524,212.39349508902524,212.39349508902524,212.39349508902524,212.81040460802615,1.6520833333333333,0.4045353200053796,space,0.09547178202774376,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,56,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16cn,images/all_images/16cn.jpeg,,,,,,,,,,,,,0,2,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.9467381950235,212.9467381950235,212.9467381950235,212.9467381950235,212.9467381950235,212.97692351799924,1.6520833333333333,0.1711266910424456,space,0.12092693208251148,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,78,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cs,images/all_images/18cs.jpeg,,,,,,,,,,,,,0,3,3,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.1422932590358,213.1422932590358,213.1422932590358,213.1422932590358,213.1422932590358,213.29377810505684,1.6520833333333333,0.28615923307370394,space,0.12537612800952047,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,51,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cs,images/all_images/11cs.jpeg,,,,,,,,,,,,,0,4,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4607004079735,213.4607004079735,213.4607004079735,213.4607004079735,213.4607004079735,213.560498101986,1.6520833333333333,0.08787781302817166,space,0.05612312303856015,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,19,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19is,images/all_images/19is.jpeg,,,,,,,,,,,,,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.6605783579871,213.6605783579871,213.6605783579871,213.6605783579871,213.6605783579871,213.6832940169843,1.6520833333333333,0.020308275008574128,space,0.08721345593221486,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,35,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15in,images/all_images/15in.jpeg,,,,,,,,,,,,,0,6,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.81096240901388,213.81096240901388,213.81096240901388,213.81096240901388,213.81096240901388,213.83299378701486,1.6520833333333333,0.02392928604967892,space,0.13307418709155172,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,59,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cs,images/all_images/19cs.jpeg,,,,,,,,,,,,,0,7,7,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.00899214099627,214.00899214099627,214.00899214099627,214.00899214099627,214.00899214099627,214.1604088320164,1.6520833333333333,0.26994640193879604,space,0.15751056501176208,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,20,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20in,images/all_images/20in.jpeg,,,,,,,,,,,,,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.3608563230373,214.3608563230373,214.3608563230373,214.3608563230373,214.3608563230373,214.4100886740489,1.6520833333333333,0.04498354496899992,space,0.10030957206618041,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,31,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11in,images/all_images/11in.jpeg,,,,,,,,,,,,,0,9,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.55374916107394,214.55374916107394,214.55374916107394,214.55374916107394,214.55374916107394,214.74355611403007,1.6520833333333333,0.3231307490495965,space,0.15542081103194505,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,80,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20is,images/all_images/20is.jpeg,,,,,,,,,,,,,0,10,10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.94546579697635,214.94546579697635,214.94546579697635,214.94546579697635,214.94546579697635,215.04372982599307,1.6520833333333333,0.08625359600409865,space,0.033565479097887874,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,58,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18in,images/all_images/18in.jpeg,,,,,,,,,,,,,0,11,11,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.11452620103955,215.11452620103955,215.11452620103955,215.11452620103955,215.11452620103955,215.1772029020358,1.6520833333333333,0.05334688094444573,space,0.07190434902440757,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,61,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1in,images/all_images/1in.jpeg,,,,,,,,,,,,,0,12,12,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.29255318606738,215.29255318606738,215.29255318606738,215.29255318606738,215.29255318606738,215.47712585807312,1.6520833333333333,0.3198536520358175,space,0.15139020793139935,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,17,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17cs,images/all_images/17cs.jpeg,,,,,,,,,,,,,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.67773388698697,215.67773388698697,215.67773388698697,215.67773388698697,215.67773388698697,215.74361880403012,1.6520833333333333,0.05669345299247652,space,0.039741193992085755,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,71,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cn,images/all_images/11cn.jpeg,,,,,,,,,,,,,0,14,14,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.83055455004796,215.83055455004796,215.83055455004796,215.83055455004796,215.83055455004796,215.8941417830065,1.6520833333333333,0.053991205990314484,space,0.06969173904508352,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,49,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9is,images/all_images/9is.jpeg,,,,,,,,,,,,,0,15,15,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0055168980034,216.0055168980034,216.0055168980034,216.0055168980034,216.0055168980034,216.04348032199778,1.6520833333333333,0.029995064018294215,space,0.12095571705140173,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,72,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12is,images/all_images/12is.jpeg,,,,,,,,,,,,,0,16,16,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.2090700380504,216.2090700380504,216.2090700380504,216.2090700380504,216.2090700380504,216.36011148896068,1.6520833333333333,0.13715921307448298,space,0.0006253269966691732,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,33,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cn,images/all_images/13cn.jpeg,,,,,,,,,,,,,0,17,17,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.41253103897907,216.41253103897907,216.41253103897907,216.41253103897907,216.41253103897907,216.49381446803454,1.6520833333333333,0.06911977799609303,space,0.009939640993252397,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,63,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3cn,images/all_images/3cn.jpeg,,,,,,,,,,,,,0,18,18,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.5471913330257,216.5471913330257,216.5471913330257,216.5471913330257,216.5471913330257,216.66039601399098,1.6520833333333333,0.10342315095476806,space,0.03491451602894813,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,66,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cs,images/all_images/6cs.jpeg,,,,,,,,,,,,,0,19,19,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.7440146569861,216.7440146569861,216.7440146569861,216.7440146569861,216.7440146569861,216.79325166600756,1.6520833333333333,0.043452284997329116,space,0.0875436250353232,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,77,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17in,images/all_images/17in.jpeg,,,,,,,,,,,,,0,20,20,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.9273698590696,216.9273698590696,216.9273698590696,216.9273698590696,216.9273698590696,216.9611545780208,1.6520833333333333,0.031875749002210796,space,0.08517848304472864,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,79,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cn,images/all_images/19cn.jpeg,,,,,,,,,,,,,0,21,21,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.09351823700126,217.09351823700126,217.09351823700126,217.09351823700126,217.09351823700126,217.11593239498325,1.6520833333333333,0.020241625956259668,space,0.11100671906024218,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,8,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8in,images/all_images/8in.jpeg,,,,,,,,,,,,,0,22,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.26221721596085,217.26221721596085,217.26221721596085,217.26221721596085,217.26221721596085,217.44357222202234,1.6520833333333333,0.17086419404949993,space,0.12028851499781013,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,62,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cs,images/all_images/2cs.jpeg,,,,,,,,,,,,,0,23,23,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.61007942806464,217.61007942806464,217.61007942806464,217.61007942806464,217.61007942806464,217.86042381206062,1.6520833333333333,0.23518842994235456,space,0.08530908904504031,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,13,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cs,images/all_images/13cs.jpeg,,,,,,,,,,,,,0,24,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9923835300142,217.9923835300142,217.9923835300142,217.9923835300142,217.9923835300142,218.1934245020384,1.6520833333333333,0.37026618199888617,space,0.1593053350225091,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,39,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19in,images/all_images/19in.jpeg,,,,,,,,,,,,,0,25,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.39484158006962,218.39484158006962,218.39484158006962,218.39484158006962,218.39484158006962,218.56024187104777,1.6520833333333333,1.4866888909600675,space,1.3527362790191546,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,14,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cn,images/all_images/14cn.jpeg,,,,,,,,,,,,,0,26,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.9613481160486,219.9613481160486,219.9613481160486,219.9613481160486,219.9613481160486,220.07675501296762,1.6520833333333333,0.10391771397553384,space,0.03621432394720614,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,6,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cn,images/all_images/6cn.jpeg,,,,,,,,,,,,,0,27,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.1618823580211,220.1618823580211,220.1618823580211,220.1618823580211,220.1618823580211,220.24379398906603,1.6520833333333333,0.06809671607334167,space,0.05635574599727988,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,55,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cs,images/all_images/15cs.jpeg,,,,,,,,,,,,,0,28,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.3452264770167,220.3452264770167,220.3452264770167,220.3452264770167,220.3452264770167,220.41036937606987,1.6520833333333333,0.05160088592674583,space,0.06677291705273092,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
,,,,,,45,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5is,images/all_images/5is.jpeg,,,,,,,,,,,,,0,29,29,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.52901271905284,220.52901271905284,220.52901271905284,220.52901271905284,220.52901271905284,220.56026129506063,1.6520833333333333,0.020427184994332492,space,0.08497880806680769,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h17.53.391,BZ,2022.2.4,None,
