consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,36.62715189391747,y,7.159402020042762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,45.76746588991955,y,17.66615524981171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,65.45087805506773,y,7.791892511071637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,75.25167592288926,y,62.276318764081225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,139.53999386401847,y,3.722949881805107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,145.26640974893235,y,1.4336709107737988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.78610510588624,148.78610510588624,148.78610510588624,148.78610510588624,148.78610510588624,148.78610510588624,148.78610510588624,4.667294938117266,20,5.0,4.65443168906495,,0.03333333333333333,-0.4152777777777778,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,5.0,4.0,2.0,263.00744751491584,263.00744751491584,263.00744751491584,263.00744751491584,263.00744751491584,263.00744751491584,263.00744751491584,263.00744751491584,263.00744751491584,264.9828637780156,space,5.242056225892156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2503909410443,270.2503909410443,270.2503909410443,270.2503909410443,270.2503909410443,270.2503909410443,270.2503909410443,270.2503909410443,270.2503909410443,272.2330831459258,space,3.8400689049158245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show four geographic regions. Each region’s colour reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.1046802189667,276.1046802189667,276.1046802189667,276.1046802189667,276.1046802189667,276.1046802189667,276.1046802189667,276.1046802189667,276.1046802189667,278.09957089391537,space,0.7086097958963364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. Higher pollution levels need to be addressed more urgently than lower pollution levels.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.8345478589181,278.8345478589181,278.8345478589181,278.8345478589181,278.8345478589181,278.8345478589181,278.8345478589181,278.8345478589181,278.8345478589181,280.81597205088474,space,15.536570915952325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how urgently the pollution levels in these regions should be addressed.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.38437480689026,296.38437480689026,296.38437480689026,296.38437480689026,296.38437480689026,296.38437480689026,296.38437480689026,296.38437480689026,296.38437480689026,298.36607119999826,space,2.7992755067534745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.18379663303494,301.18379663303494,301.18379663303494,301.18379663303494,301.18379663303494,301.18379663303494,301.18379663303494,301.18379663303494,301.18379663303494,303.1824690129142,space,1.7568771238438785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.96739354287274,304.96739354287274,304.96739354287274,304.96739354287274,304.96739354287274,304.96739354287274,304.96739354287274,304.96739354287274,304.96739354287274,306.94939903193153,space,3.9375976060982794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.91653583408333,310.91653583408333,310.91653583408333,310.91653583408333,310.91653583408333,310.91653583408333,310.91653583408333,310.91653583408333,310.91653583408333,312.9155857129954,space,0.6586762331426144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,label,E,34,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E34_extend_label.png,,,,,,,,,,,,,0,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.7281668558717,313.7281668558717,313.7281668558717,313.7281668558717,313.7281668558717,319.9825713499449,1.088888888888889,7.078022218076512,space,1.4781401860527694,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,label,E,29,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E29_extend_label.png,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.57107352488674,321.57107352488674,321.57107352488674,321.57107352488674,321.57107352488674,326.3156545450911,1.075,4.742281049024314,space,0.21030327188782394,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,label,E,37,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E37_extend_label.png,,,,,,,,,,,,,0,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.6397391948849,326.6397391948849,326.6397391948849,326.6397391948849,326.6397391948849,328.5324390460737,1.8416666666666668,1.8910169599112123,space,0.3035533509682864,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,blank,E,44,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E44_extend_blank.png,,,,,,,,,,,,,0,3,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.95576577307656,328.95576577307656,328.95576577307656,328.95576577307656,328.95576577307656,330.19874180993065,1.5166666666666666,1.239174777874723,space,0.1329813681077212,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,E,38,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E38_trunc_label.png,,,,,,,,,,,,,0,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.4394111810252,330.4394111810252,330.4394111810252,330.4394111810252,330.4394111810252,411.8650208390318,1.761111111111111,81.42284397804178,space,2.3004331178963184,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,35,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E35_trunc_blank.png,,,,,,,,,,,,,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.2737717980053,414.2737717980053,414.2737717980053,414.2737717980053,414.2737717980053,414.7482935930602,1.7583333333333333,0.47120388806797564,space,0.21573173999786377,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,label,E,10,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E10_extend_label.png,,,,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.07496532890946,415.07496532890946,415.07496532890946,415.07496532890946,415.07496532890946,415.5150986730587,1.7583333333333333,0.4397358188871294,space,0.11023803288117051,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,16,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E16_trunc_blank.png,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.7391936799977,415.7391936799977,415.7391936799977,415.7391936799977,415.7391936799977,416.13189563993365,1.7583333333333333,0.3910776281263679,space,0.00964456214569509,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,47,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E47_trunc_blank.png,,,,,,,,,,,,,0,8,8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.2509963759221,416.2509963759221,416.2509963759221,416.2509963759221,416.2509963759221,416.6486272250768,1.7583333333333333,0.9593067460227758,space,0.7210724928881973,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,label,E,5,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E5_extend_label.png,,,,,,,,,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.4861635759007,417.4861635759007,417.4861635759007,417.4861635759007,417.4861635759007,417.89847360993735,1.7583333333333333,0.4046856111381203,space,0.1232218339573592,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,blank,E,15,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E15_extend_blank.png,,,,,,,,,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.14018646092154,418.14018646092154,418.14018646092154,418.14018646092154,418.14018646092154,418.5648444578983,1.411111111111111,0.4208518441300839,space,0.026950539089739323,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,AC,51,Ignore the map. Move the marker to the middle of the scale.,"Based on the text above, how have you been asked to respond?",1.5,0.5,map_generator/maps/AC51_trunc_blank.png,,,,,,,,,,,,,0,11,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.7034140219912,418.7034140219912,418.7034140219912,418.7034140219912,418.7034140219912,419.44839502009563,1.5,0.7407351979054511,space,0.06392240803688765,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,blank,E,3,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E3_extend_blank.png,,,,,,,,,,,,,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.6328499640804,419.6328499640804,419.6328499640804,419.6328499640804,419.6328499640804,420.064953421941,1.3972222222222221,0.43130374304018915,space,0.0587637557182461,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,label,E,25,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E25_extend_label.png,,,,,,,,,,,,,0,13,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.2386370659806,420.2386370659806,420.2386370659806,420.2386370659806,420.2386370659806,420.73181647202,1.6861111111111111,0.4913990159984678,space,0.08462285879068077,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,E,33,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E33_trunc_label.png,,,,,,,,,,,,,0,14,14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.934753786074,420.934753786074,420.934753786074,420.934753786074,420.934753786074,421.4151463890448,1.3277777777777777,0.47519162204116583,space,0.09896473004482687,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,7,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E7_trunc_blank.png,,,,,,,,,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.62253789487295,421.62253789487295,421.62253789487295,421.62253789487295,421.62253789487295,422.0985512440093,1.5777777777777777,0.47376664308831096,space,0.03247239091433585,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,E,21,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E21_trunc_label.png,,,,,,,,,,,,,0,16,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.24127105693333,422.24127105693333,422.24127105693333,422.24127105693333,422.24127105693333,422.6816656140145,1.325,0.43877881090156734,space,0.08217532793059945,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,19,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E19_trunc_blank.png,,,,,,,,,,,,,0,17,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.86998194502667,422.86998194502667,422.86998194502667,422.86998194502667,422.86998194502667,423.26504587801173,1.5611111111111111,0.3928986149840057,space,0.1361565049737692,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,23,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E23_trunc_blank.png,,,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.51791460392997,423.51791460392997,423.51791460392997,423.51791460392997,423.51791460392997,423.9318213739898,1.3944444444444444,0.40775010106153786,space,0.11802802188321948,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,11,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E11_trunc_blank.png,,,,,,,,,,,,,0,19,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.1690565990284,424.1690565990284,424.1690565990284,424.1690565990284,424.1690565990284,424.56506536901,1.5861111111111112,0.3926032979506999,space,0.19872296205721796,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,E,45,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E45_trunc_label.png,,,,,,,,,,,,,0,20,20,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.86719514406286,424.86719514406286,424.86719514406286,424.86719514406286,424.86719514406286,425.26491883792914,1.5416666666666665,0.39607860310934484,space,0.027438039891421795,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,E,26,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E26_trunc_label.png,,,,,,,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.4067059729714,425.4067059729714,425.4067059729714,425.4067059729714,425.4067059729714,425.79841633397155,1.536111111111111,0.38985064905136824,space,0.02640672097913921,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,E,42,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E42_trunc_label.png,,,,,,,,,,,,,0,22,22,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.93305212189443,425.93305212189443,425.93305212189443,425.93305212189443,425.93305212189443,426.2811601650901,1.5333333333333332,0.34671006398275495,space,0.4386094640940428,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,28,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E28_trunc_blank.png,,,,,,,,,,,,,0,23,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.83527226094157,426.83527226094157,426.83527226094157,426.83527226094157,426.83527226094157,427.2814031399321,1.5333333333333332,0.4426517628598958,space,0.08459663297981024,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,label,AC,53,Ignore the map. Move the marker all the way to the 'Very urgently' end of the scale.,"Based on the text above, how have you been asked to respond?",2.0,0.5,map_generator/maps/AC53_trunc_label.png,,,,,,,,,,,,,0,24,24,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.49551343894564,427.49551343894564,427.49551343894564,427.49551343894564,427.49551343894564,427.9482507358771,1.5,0.4483044999651611,space,0.059988070046529174,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,31,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E31_trunc_blank.png,,,,,,,,,,,,,0,25,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.1277550798841,428.1277550798841,428.1277550798841,428.1277550798841,428.1277550798841,428.5977282039821,1.525,0.4674809060525149,space,0.05291667580604553,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
,,,,,,extend,blank,E,12,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E12_extend_blank.png,,,,,,,,,,,,,0,26,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.7643736170139,428.7643736170139,428.7643736170139,428.7643736170139,428.7643736170139,429.1814578049816,1.375,0.4134993420448154,space,0.05645294091664255,,,,,,,,,,,,,,,,,,,2023-02-05_21h08.48.507,BZ,2022.2.4,None,
