consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,item_no,sentence,question,correct_option,granularity,file_name,file_path,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,204.5411733710207,y,0.1682172070723027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,206.73164670402184,y,0.3746528751216829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,209.1083837109618,y,0.26649446808733046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.43170459591784,211.43170459591784,211.43170459591784,211.43170459591784,211.43170459591784,211.43170459591784,211.43170459591784,3.8834307459183037,20,3.0,3.8711905439849943,,0.009722222222222222,-0.3875,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,4.0,6.0,225.83224781695753,225.83224781695753,225.83224781695753,225.83224781695753,225.83224781695753,225.83224781695753,225.83224781695753,225.83224781695753,225.83224781695753,227.82462004991248,space,0.12647821218706667,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.97659481992014,227.97659481992014,227.97659481992014,227.97659481992014,227.97659481992014,227.97659481992014,227.97659481992014,227.97659481992014,227.97659481992014,229.9743472840637,space,0.787398423301056,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.7967325730715,230.7967325730715,230.7967325730715,230.7967325730715,230.7967325730715,230.7967325730715,230.7967325730715,230.7967325730715,230.7967325730715,232.79192586196586,space,6.854148996062577,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.67776610003784,239.67776610003784,239.67776610003784,239.67776610003784,239.67776610003784,239.67776610003784,239.67776610003784,239.67776610003784,239.67776610003784,241.67484302190132,space,0.32347371405921876,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.02650585607626,242.02650585607626,242.02650585607626,242.02650585607626,242.02650585607626,242.02650585607626,242.02650585607626,242.02650585607626,242.02650585607626,244.00795282097533,space,0.3812991010490805,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.40747164399363,244.40747164399363,244.40747164399363,244.40747164399363,244.40747164399363,244.40747164399363,244.40747164399363,244.40747164399363,244.40747164399363,246.3912661948707,space,0.6885623950511217,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.1105449378956,247.1105449378956,247.1105449378956,247.1105449378956,247.1105449378956,247.1105449378956,247.1105449378956,247.1105449378956,247.1105449378956,249.10786716104485,space,0.08625995414331555,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.2244586760644,249.2244586760644,249.2244586760644,249.2244586760644,249.2244586760644,249.2244586760644,249.2244586760644,249.2244586760644,249.2244586760644,251.2249498399906,space,1.0550851901061833,,,,,,,,,2023-02-06_18h29.57.841,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.3465286719147,252.3465286719147,252.3465286719147,252.3465286719147,252.3465286719147,,,,,,,,
