consent_item,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,0,0,0,0,,,,,,,,,,58.13884099700954,y,0.7109043399104849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,0,1,1,1,,,,,,,,,,60.85550418798812,y,0.22313621488865465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,0,2,2,2,,,,,,,,,,63.08645813097246,y,4.406380268977955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,0,3,3,3,,,,,,,,,,69.5029743789928,y,8.407786033931188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,0,4,4,4,,,,,,,,,,79.94371444906574,y,0.2090854219859466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,0,5,5,5,,,,,,,,,,82.16720063704997,y,0.09483713889494538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,84.36021170206368,84.36021170206368,84.36021170206368,84.36021170206368,84.36021170206368,84.36021170206368,84.36021170206368,5.126920716022141,20,5.0,5.111071923980489,,0.05520833333333333,-0.4197916666666667,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,2023-03-13_20h30.31.168,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,100.37929579801857,100.37929579801857,100.37929579801857,100.37929579801857,100.37929579801857,100.37929579801857,100.37929579801857,100.37929579801857,100.37929579801857,,,,,,,,
