consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,210.5463844250189,y,27.194734016084112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,239.73638479295187,y,1.7672360360156745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,243.52115691499785,y,1.6027430930407718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,247.16198396100663,y,1.9128061791416258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,251.0853577470407,y,0.0429608840495348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.21150907804258,253.21150907804258,253.21150907804258,253.21150907804258,253.21150907804258,253.21150907804258,253.21150907804258,15.727600918035023,20,5.0,15.711853847024031,,-0.0125,-0.42291666666666666,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,5.0,4.0,5.0,364.9411996570416,364.9411996570416,364.9411996570416,364.9411996570416,364.9411996570416,364.9411996570416,364.9411996570416,364.9411996570416,364.9411996570416,366.90130943397526,space,30.13347668806091,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.05429732904304,397.05429732904304,397.05429732904304,397.05429732904304,397.05429732904304,397.05429732904304,397.05429732904304,397.05429732904304,397.05429732904304,399.05108538805507,space,24.085558017133735,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.17649988504127,423.17649988504127,423.17649988504127,423.17649988504127,423.17649988504127,423.17649988504127,423.17649988504127,423.17649988504127,423.17649988504127,425.1677036830224,space,37.489834657055326,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.68951858603396,462.68951858603396,462.68951858603396,462.68951858603396,462.68951858603396,462.68951858603396,462.68951858603396,462.68951858603396,462.68951858603396,464.6835168680409,space,6.944930883008055,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.65614551096223,471.65614551096223,471.65614551096223,471.65614551096223,471.65614551096223,471.65614551096223,471.65614551096223,471.65614551096223,471.65614551096223,473.65009061596356,space,2.0535803810926154,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.73661059106234,475.73661059106234,475.73661059106234,475.73661059106234,475.73661059106234,475.73661059106234,475.73661059106234,475.73661059106234,475.73661059106234,477.733586397022,space,4.619946331018582,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.3894015100086,482.3894015100086,482.3894015100086,482.3894015100086,482.3894015100086,482.3894015100086,482.3894015100086,482.3894015100086,482.3894015100086,484.38358664303087,space,5.5354480660753325,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.9510951250559,489.9510951250559,489.9510951250559,489.9510951250559,489.9510951250559,489.9510951250559,489.9510951250559,489.9510951250559,489.9510951250559,491.950316461036,space,2.2523086100118235,,,,,,,,,,,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,72,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12is,images/all_images/12is.jpeg,,,,,,,,,,,,,0,0,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.32121753005777,494.32121753005777,494.32121753005777,494.32121753005777,494.32121753005777,522.8997491049813,1.0166666666666666,30.290532656013966,space,2.4131852090358734,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,40,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cs,images/all_images/20cs.jpeg,,,,,,,,,,,,,0,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.3524303169688,525.3524303169688,525.3524303169688,525.3524303169688,525.3524303169688,534.0833294630283,1.0104166666666667,8.717674560961314,space,0.9267231220146641,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,14,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cn,images/all_images/14cn.jpeg,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.0483394729672,535.0483394729672,535.0483394729672,535.0483394729672,535.0483394729672,544.0995904919691,1.0104166666666667,9.0394284829963,space,0.9350200421176851,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,35,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15in,images/all_images/15in.jpeg,,,,,,,,,,,,,0,3,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0811481740093,545.0811481740093,545.0811481740093,545.0811481740093,545.0811481740093,554.6328226949554,1.0083333333333333,9.535717140999623,space,1.203862642054446,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,11,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11is,images/all_images/11is.jpeg,,,,,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.8811646959512,555.8811646959512,555.8811646959512,555.8811646959512,555.8811646959512,568.4161716189701,1.3979166666666667,12.520210196031258,space,1.5383751580957323,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,8,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8in,images/all_images/8in.jpeg,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.9980341029586,569.9980341029586,569.9980341029586,569.9980341029586,569.9980341029586,578.8661257009953,2.0,12.969624229008332,space,5.432203131029382,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,24,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cs,images/all_images/4cs.jpeg,,,,,,,,,,,,,0,6,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.3328375889687,584.3328375889687,584.3328375889687,584.3328375889687,584.3328375889687,597.3325074539753,1.0041666666666667,12.986071632010862,space,0.8967336120549589,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,41,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1is,images/all_images/1is.jpeg,,,,,,,,,,,,,0,7,7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.2666330670472,598.2666330670472,598.2666330670472,598.2666330670472,598.2666330670472,604.0325636740308,1.9333333333333333,5.752278973930515,space,0.5920660509727895,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,28,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cs,images/all_images/8cs.jpeg,,,,,,,,,,,,,0,8,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.6675528510241,604.6675528510241,604.6675528510241,604.6675528510241,604.6675528510241,607.7821234749863,1,3.1029712370363995,space,0.32181872008368373,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,26,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6is,images/all_images/6is.jpeg,,,,,,,,,,,,,0,9,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.1475200790446,608.1475200790446,608.1475200790446,608.1475200790446,608.1475200790446,613.9822178489994,1.0,9.437193433986977,space,4.689503929112107,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,68,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8is,images/all_images/8is.jpeg,,,,,,,,,,,,,0,10,10,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.7176206799923,618.7176206799923,618.7176206799923,618.7176206799923,618.7176206799923,628.7323845849605,1,10.003102396964096,space,0.7413866410497576,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,75,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cn,images/all_images/15cn.jpeg,,,,,,,,,,,,,0,11,11,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.5158962369896,629.5158962369896,629.5158962369896,629.5158962369896,629.5158962369896,638.0482839400647,2.0,8.519660742022097,space,0.3539323511067778,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,71,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cn,images/all_images/11cn.jpeg,,,,,,,,,,,,,0,12,12,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.4471004139632,638.4471004139632,638.4471004139632,638.4471004139632,638.4471004139632,646.2985869309632,1.08125,7.837738412083127,space,0.36649386503268033,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,36,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16cs,images/all_images/16cs.jpeg,,,,,,,,,,,,,0,13,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.6995081739733,646.6995081739733,646.6995081739733,646.6995081739733,646.6995081739733,653.6652856910368,1.00625,6.952965367003344,space,4.648893663077615,,,,2023-03-13_19h26.24.875,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.3492717290064,658.3492717290064,658.3492717290064,658.3492717290064,658.3492717290064,673.8151896770578,,,,,,,,,,,,
