consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text.started,scales_images.started,text_4.started,scale_slider.started,next_slide_text.started,key_resp_3.started,scale_slider.response,scale_slider.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,23.984636798966676,y,0.00657186598982662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,26.000130267988425,y,0.07179906801320612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,28.07968704996165,y,0.13375051802722737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,30.243121795007028,y,0.16398381703766063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,32.43802345596487,y,0.07251970400102437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,34.51139989699004,y,0.9371242340421304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56418263196247,37.56418263196247,37.56418263196247,37.56418263196247,37.56418263196247,37.56418263196247,37.56418263196247,5.404501955024898,20,5.0,5.384289309964515,,0.002777777777777778,-0.4027777777777778,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,59.7894777689944,59.7894777689944,59.7894777689944,59.7894777689944,59.7894777689944,59.7894777689944,59.7894777689944,59.7894777689944,59.7894777689944,61.74406191596063,space,0.03234516200609505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.80374448397197,61.80374448397197,61.80374448397197,61.80374448397197,61.80374448397197,61.80374448397197,61.80374448397197,61.80374448397197,61.80374448397197,63.79411989398068,space,0.08005862799473107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.91613794199657,63.91613794199657,63.91613794199657,63.91613794199657,63.91613794199657,63.91613794199657,63.91613794199657,63.91613794199657,63.91613794199657,65.89418647100683,space,0.7250047490233555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66415863495786,66.66415863495786,66.66415863495786,66.66415863495786,66.66415863495786,66.66415863495786,66.66415863495786,66.66415863495786,66.66415863495786,68.64432771899737,space,0.025379900995176286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.71641101798741,68.71641101798741,68.71641101798741,68.71641101798741,68.71641101798741,68.71641101798741,68.71641101798741,68.71641101798741,68.71641101798741,70.69430950295646,space,0.12939451297279447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86346364195924,70.86346364195924,70.86346364195924,70.86346364195924,70.86346364195924,70.86346364195924,70.86346364195924,70.86346364195924,70.86346364195924,72.84434292500373,space,0.17711368697928265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0664261339698,73.0664261339698,73.0664261339698,73.0664261339698,73.0664261339698,73.0664261339698,73.0664261339698,73.0664261339698,73.0664261339698,75.04447591397911,space,0.16338639403693378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.24553116800962,75.24553116800962,75.24553116800962,75.24553116800962,75.24553116800962,75.24553116800962,75.24553116800962,75.24553116800962,75.24553116800962,77.22764675901271,space,0.133817641006317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,22,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2is,images/all_images/2is.jpeg,,,,,,,,,,,,,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5606800270034,77.5606800270034,77.5606800270034,77.5606800270034,77.5606800270034,83.38612287299475,1.6194444444444445,5.841675951029174,space,0.19460575806442648,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,12,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12in,images/all_images/12in.jpeg,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.67436514096335,83.67436514096335,83.67436514096335,83.67436514096335,83.67436514096335,83.83189545199275,1.6194444444444445,0.1606680810218677,space,0.11630104301730171,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,77,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17in,images/all_images/17in.jpeg,,,,,,,,,,,,,0,2,2,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.03003510198323,84.03003510198323,84.03003510198323,84.03003510198323,84.03003510198323,84.19409339496633,1.6194444444444445,0.14813972602132708,space,0.02107225201325491,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,79,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cn,images/all_images/19cn.jpeg,,,,,,,,,,,,,0,3,3,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.31303795595886,84.31303795595886,84.31303795595886,84.31303795595886,84.31303795595886,84.36340144899441,1.6194444444444445,0.1813666939851828,space,0.16163971897913143,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,42,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2in,images/all_images/2in.jpeg,,,,,,,,,,,,,0,4,4,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.61392315797275,84.61392315797275,84.61392315797275,84.61392315797275,84.61392315797275,84.77733911498217,1.6194444444444445,0.15690717700636014,space,0.07922841899562627,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,26,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6is,images/all_images/6is.jpeg,,,,,,,,,,,,,0,5,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99270475195954,84.99270475195954,84.99270475195954,84.99270475195954,84.99270475195954,85.11009486799594,1.6194444444444445,0.09985180501826108,space,0.011723101022653282,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,52,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12cn,images/all_images/12cn.jpeg,,,,,,,,,,,,,0,6,6,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.23181992396712,85.23181992396712,85.23181992396712,85.23181992396712,85.23181992396712,85.41001554200193,1.6194444444444445,0.15193766599986702,space,0.047706848999951035,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,33,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cn,images/all_images/13cn.jpeg,,,,,,,,,,,,,0,7,7,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.54338634497253,85.54338634497253,85.54338634497253,85.54338634497253,85.54338634497253,85.67005880299257,1.6194444444444445,0.2605891099665314,space,0.111497980018612,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,27,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7in,images/all_images/7in.jpeg,,,,,,,,,,,,,0,8,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.88832015596563,85.88832015596563,85.88832015596563,85.88832015596563,85.88832015596563,86.00862785696518,1.6194444444444445,0.11528411600738764,space,0.05328597000334412,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,55,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cs,images/all_images/15cs.jpeg,,,,,,,,,,,,,0,9,9,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1427521869773,86.1427521869773,86.1427521869773,86.1427521869773,86.1427521869773,86.32447767799022,1.6194444444444445,0.15991342900088057,space,0.03740018600365147,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,76,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16is,images/all_images/16is.jpeg,,,,,,,,,,,,,0,10,10,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.44547833298566,86.44547833298566,86.44547833298566,86.44547833298566,86.44547833298566,86.54871721600648,1.6194444444444445,0.2758894780417904,space,0.14791608200175688,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,60,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cn,images/all_images/20cn.jpeg,,,,,,,,,,,,,0,11,11,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.79607694596052,86.79607694596052,86.79607694596052,86.79607694596052,86.79607694596052,86.87252667400753,1.6194444444444445,0.22901655599707738,space,0.11677541298558936,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,7,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7is,images/all_images/7is.jpeg,,,,,,,,,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.08298045099946,87.08298045099946,87.08298045099946,87.08298045099946,87.08298045099946,87.22114490397507,1.6194444444444445,0.25312468997435644,space,0.09026037604780868,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,61,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1in,images/all_images/1in.jpeg,,,,,,,,,,,,,0,13,13,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.42005931196036,87.42005931196036,87.42005931196036,87.42005931196036,87.42005931196036,87.47348480200162,1.6194444444444445,0.21858505997806787,space,0.15387013100553304,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,50,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10in,images/all_images/10in.jpeg,,,,,,,,,,,,,0,14,14,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.72689378401265,87.72689378401265,87.72689378401265,87.72689378401265,87.72689378401265,87.93039703398244,1.6194444444444445,0.2104917080141604,space,0.020725031034089625,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,46,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6in,images/all_images/6in.jpeg,,,,,,,,,,,,,0,15,15,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04499821300851,88.04499821300851,88.04499821300851,88.04499821300851,88.04499821300851,88.2572502809926,1.6194444444444445,0.19194904202595353,space,0.053099768061656505,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,29,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9cn,images/all_images/9cn.jpeg,,,,,,,,,,,,,0,16,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42069653398357,88.42069653398357,88.42069653398357,88.42069653398357,88.42069653398357,88.57128029700834,1.6194444444444445,0.25582089502131566,space,0.07962974900146946,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,67,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7cn,images/all_images/7cn.jpeg,,,,,,,,,,,,,0,17,17,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.77080843097065,88.77080843097065,88.77080843097065,88.77080843097065,88.77080843097065,88.87125556997489,1.6194444444444445,0.2153301240177825,space,0.11889025900745764,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,53,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13is,images/all_images/13is.jpeg,,,,,,,,,,,,,0,18,18,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1186228049919,89.1186228049919,89.1186228049919,89.1186228049919,89.1186228049919,89.35445525299292,1.6194444444444445,0.3493976140161976,space,0.11833762598689646,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,62,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cs,images/all_images/2cs.jpeg,,,,,,,,,,,,,0,19,19,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.58856454095803,89.58856454095803,89.58856454095803,89.58856454095803,89.58856454095803,89.77732582599856,1.6194444444444445,0.19769231899408624,space,0.012269711005501449,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,40,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cs,images/all_images/20cs.jpeg,,,,,,,,,,,,,0,20,20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.90507236396661,89.90507236396661,89.90507236396661,89.90507236396661,89.90507236396661,90.15452699398156,1.6194444444444445,0.40863205096684396,space,0.15036554704420269,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,3,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3is,images/all_images/3is.jpeg,,,,,,,,,,,,,0,21,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.40572172997054,90.40572172997054,90.40572172997054,90.40572172997054,90.40572172997054,90.61225970799569,1.6194444444444445,0.22298633499303833,space,0.0659435240086168,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,11,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11is,images/all_images/11is.jpeg,,,,,,,,,,,,,0,22,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.78841034998186,90.78841034998186,90.78841034998186,90.78841034998186,90.78841034998186,90.95719836396165,1.6194444444444445,0.15814020001562312,space,0.07052045699674636,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,73,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13in,images/all_images/13in.jpeg,,,,,,,,,,,,,0,23,23,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.15368554799352,91.15368554799352,91.15368554799352,91.15368554799352,91.15368554799352,91.35463035298744,1.6194444444444445,0.15487674804171547,space,0.017767208977602422,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,49,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9is,images/all_images/9is.jpeg,,,,,,,,,,,,,0,24,24,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.49234491196694,91.49234491196694,91.49234491196694,91.49234491196694,91.49234491196694,91.62168403196847,1.6194444444444445,0.26445194700499997,space,0.10101707704598084,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
,,,,,,9,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9cs,images/all_images/9cs.jpeg,,,,,,,,,,,,,0,25,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.82896543596871,91.82896543596871,91.82896543596871,91.82896543596871,91.82896543596871,91.93938791099936,1.6194444444444445,0.2778255919693038,space,0.12154042004840448,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h23.08.726,BZ,2022.2.4,None,
