consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text1.started,scales_images.started,add_question_text2.started,next_slide_text.started,spacebar_continue_7.started,scale_slider.response,spacebar_continue_7.keys,spacebar_continue_7.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,continue_box.started,continue_text.started,comment_instructions.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.63699423405342,39.63699423405342,39.63699423405342,39.63699423405342,39.63699423405342,39.63699423405342,39.63699423405342,3.6225314079783857,20,5.0,3.6081309019355103,,0.011458333333333333,-0.38645833333333335,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,6.0,6.0,6.0,51.865804524044506,51.865804524044506,51.865804524044506,51.865804524044506,51.865804524044506,51.865804524044506,51.865804524044506,51.865804524044506,51.865804524044506,53.84004591405392,space,0.16794116597156972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.04197806294542,54.04197806294542,54.04197806294542,54.04197806294542,54.04197806294542,54.04197806294542,54.04197806294542,54.04197806294542,54.04197806294542,56.03991600999143,space,0.15303501393646002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2298549170373,56.2298549170373,56.2298549170373,56.2298549170373,56.2298549170373,56.2298549170373,56.2298549170373,56.2298549170373,56.2298549170373,58.22333858895581,space,0.17059327801689506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.42767737794202,58.42767737794202,58.42767737794202,58.42767737794202,58.42767737794202,58.42767737794202,58.42767737794202,58.42767737794202,58.42767737794202,60.42289851303212,space,0.10590348904952407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.56261291098781,60.56261291098781,60.56261291098781,60.56261291098781,60.56261291098781,60.56261291098781,60.56261291098781,60.56261291098781,60.56261291098781,62.55671466200147,space,0.024436178035102785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.61031472997274,62.61031472997274,62.61031472997274,62.61031472997274,62.61031472997274,62.61031472997274,62.61031472997274,62.61031472997274,62.61031472997274,64.60681580402888,space,0.5731168389320374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.20875423203688,65.20875423203688,65.20875423203688,65.20875423203688,65.20875423203688,65.20875423203688,65.20875423203688,65.20875423203688,65.20875423203688,67.18987203901634,space,0.10021135199349374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.30917193705682,67.30917193705682,67.30917193705682,67.30917193705682,67.30917193705682,67.30917193705682,67.30917193705682,67.30917193705682,67.30917193705682,69.30677182902582,space,0.10221655701752752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,56,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16cn,images/pointed_maps_images/16cn.jpeg,,,,,,,,,,,,,0,0,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5182715379633,69.5182715379633,69.5182715379633,69.5182715379633,69.5182715379633,70.67357813299168,1.6125,1.1642244419781491,space,0.12481794087216258,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,76,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16is,images/pointed_maps_images/16is.jpeg,,,,,,,,,,,,,0,1,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8338648029603,70.8338648029603,70.8338648029603,70.8338648029603,70.8338648029603,71.15672693494707,1.6104166666666666,0.4423114110250026,space,0.143014051951468,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,43,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3cs,images/pointed_maps_images/3cs.jpeg,,,,,,,,,,,,,0,2,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33457896101754,71.33457896101754,71.33457896101754,71.33457896101754,71.33457896101754,71.44035606004763,1.6104166666666666,0.2561328500742093,space,0.15385056391824037,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,19,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19is,images/pointed_maps_images/19is.jpeg,,,,,,,,,,,,,0,3,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.63134416996036,71.63134416996036,71.63134416996036,71.63134416996036,71.63134416996036,71.75669076899067,1.6104166666666666,0.1070648250170052,space,0.010438908939249814,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,79,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cn,images/pointed_maps_images/19cn.jpeg,,,,,,,,,,,,,0,4,4,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8011612680275,71.8011612680275,71.8011612680275,71.8011612680275,71.8011612680275,71.90664186503273,1.6104166666666666,0.09119552001357079,space,0.017308868933469057,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,63,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3cn,images/pointed_maps_images/3cn.jpeg,,,,,,,,,,,,,0,5,5,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9710382890189,71.9710382890189,71.9710382890189,71.9710382890189,71.9710382890189,72.0732418630505,1.6104166666666666,0.08521891594864428,space,0.020271833054721355,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,68,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8is,images/pointed_maps_images/8is.jpeg,,,,,,,,,,,,,0,6,6,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.13877699198201,72.13877699198201,72.13877699198201,72.13877699198201,72.13877699198201,72.23987223801669,1.6104166666666666,0.08685578498989344,space,0.011600003927014768,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,74,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cs,images/pointed_maps_images/14cs.jpeg,,,,,,,,,,,,,0,7,7,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.28385472495575,72.28385472495575,72.28385472495575,72.28385472495575,72.28385472495575,72.39003410597797,1.6104166666666666,0.0900486430618912,space,0.019213217892684042,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,11,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11is,images/pointed_maps_images/11is.jpeg,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44869455497246,72.44869455497246,72.44869455497246,72.44869455497246,72.44869455497246,72.55643034004606,1.6104166666666666,0.09126310108695179,space,0.013718088972382247,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,32,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12cs,images/pointed_maps_images/12cs.jpeg,,,,,,,,,,,,,0,9,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.60316276899539,72.60316276899539,72.60316276899539,72.60316276899539,72.60316276899539,72.69020455202553,1.6104166666666666,0.07361509092152119,space,0.05565434996969998,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,20,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20in,images/pointed_maps_images/20in.jpeg,,,,,,,,,,,,,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.79194627597462,72.79194627597462,72.79194627597462,72.79194627597462,72.79194627597462,72.87345999095123,1.6104166666666666,0.07052825298160315,space,0.03621223790105432,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,9,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9cs,images/pointed_maps_images/9cs.jpeg,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94600648700725,72.94600648700725,72.94600648700725,72.94600648700725,72.94600648700725,73.13992180698551,1.6104166666666666,0.17553915502503514,space,0.09473112900741398,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,71,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cn,images/pointed_maps_images/11cn.jpeg,,,,,,,,,,,,,0,12,12,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.26888018404134,73.26888018404134,73.26888018404134,73.26888018404134,73.26888018404134,73.47330716997385,1.6104166666666666,0.18854397803079337,space,0.07629263889975846,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,44,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cn,images/pointed_maps_images/4cn.jpeg,,,,,,,,,,,,,0,13,13,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.58341136598028,73.58341136598028,73.58341136598028,73.58341136598028,73.58341136598028,73.95650258299429,1.6104166666666666,0.35827309696469456,space,0.13247738895006478,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,38,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18is,images/pointed_maps_images/18is.jpeg,,,,,,,,,,,,,0,14,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.12146837695036,74.12146837695036,74.12146837695036,74.12146837695036,74.12146837695036,74.38982507400215,1.6104166666666666,0.2567469560308382,space,0.04976601793896407,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,73,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13in,images/pointed_maps_images/13in.jpeg,,,,,,,,,,,,,0,15,15,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4734839249868,74.4734839249868,74.4734839249868,74.4734839249868,74.4734839249868,74.5231340379687,1.6104166666666666,0.040229010046459734,space,0.1036319799022749,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,78,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cs,images/pointed_maps_images/18cs.jpeg,,,,,,,,,,,,,0,16,16,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6666754350299,74.6666754350299,74.6666754350299,74.6666754350299,74.6666754350299,74.68965723202564,1.6104166666666666,0.016428687958978117,space,0.0966892100404948,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,10,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10cn,images/pointed_maps_images/10cn.jpeg,,,,,,,,,,,,,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.82121796405409,74.82121796405409,74.82121796405409,74.82121796405409,74.82121796405409,75.1731897649588,1.6104166666666666,0.34315973601769656,space,0.15366413292940706,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,14,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cn,images/pointed_maps_images/14cn.jpeg,,,,,,,,,,,,,0,18,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.36825420695823,75.36825420695823,75.36825420695823,75.36825420695823,75.36825420695823,76.15675278997514,1.6104166666666666,0.7703102419618517,space,0.028813733020797372,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,25,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5cn,images/pointed_maps_images/5cn.jpeg,,,,,,,,,,,,,0,19,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21696625894401,76.21696625894401,76.21696625894401,76.21696625894401,76.21696625894401,76.63966114399955,1.6104166666666666,0.4106846200302243,space,0.13828757195733488,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,55,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cs,images/pointed_maps_images/15cs.jpeg,,,,,,,,,,,,,0,20,20,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81593990302645,76.81593990302645,76.81593990302645,76.81593990302645,76.81593990302645,77.02291181194596,1.6104166666666666,0.18802190304268152,space,0.08035909396130592,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,24,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cs,images/pointed_maps_images/4cs.jpeg,,,,,,,,,,,,,0,21,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.13545461301692,77.13545461301692,77.13545461301692,77.13545461301692,77.13545461301692,77.17301753396168,1.6104166666666666,0.031241850927472115,space,0.09623666293919086,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,65,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5in,images/pointed_maps_images/5in.jpeg,,,,,,,,,,,,,0,22,22,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.30162801104598,77.30162801104598,77.30162801104598,77.30162801104598,77.30162801104598,77.33910721901339,1.6104166666666666,0.029060248052701354,space,0.09735689195804298,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,72,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12is,images/pointed_maps_images/12is.jpeg,,,,,,,,,,,,,0,23,23,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.47123811999336,77.47123811999336,77.47123811999336,77.47123811999336,77.47123811999336,77.50652661500499,1.6104166666666666,0.031581331975758076,space,0.10001725098118186,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,59,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cs,images/pointed_maps_images/19cs.jpeg,,,,,,,,,,,,,0,24,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.64154764299747,77.64154764299747,77.64154764299747,77.64154764299747,77.64154764299747,77.67277829803061,1.6104166666666666,0.02222009201068431,space,0.11581056495197117,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,42,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2in,images/pointed_maps_images/2in.jpeg,,,,,,,,,,,,,0,25,25,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.81871526001487,77.81871526001487,77.81871526001487,77.81871526001487,77.81871526001487,77.98987155605573,1.6104166666666666,0.32323864998761564,space,0.16259857593104243,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,50,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10in,images/pointed_maps_images/10in.jpeg,,,,,,,,,,,,,0,26,26,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.18485248205252,78.18485248205252,78.18485248205252,78.18485248205252,78.18485248205252,78.30643270700239,1.6104166666666666,0.10769589303527027,space,0.03266366897150874,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,27,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7in,images/pointed_maps_images/7in.jpeg,,,,,,,,,,,,,0,27,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.37329766596667,78.37329766596667,78.37329766596667,78.37329766596667,78.37329766596667,78.4733454650268,1.6104166666666666,0.08914064103737473,space,0.0632301839068532,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,41,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1is,images/pointed_maps_images/1is.jpeg,,,,,,,,,,,,,0,28,28,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57124381302856,78.57124381302856,78.57124381302856,78.57124381302856,78.57124381302856,78.60653002304025,1.6104166666666666,0.032591007999144495,space,0.10565050994046032,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,58,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18in,images/pointed_maps_images/18in.jpeg,,,,,,,,,,,,,0,29,29,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.74911279196385,78.74911279196385,78.74911279196385,78.74911279196385,78.74911279196385,78.77321106696036,1.6104166666666666,0.01571276702452451,space,0.12005601485725492,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,77,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17in,images/pointed_maps_images/17in.jpeg,,,,,,,,,,,,,0,30,30,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.93039670202415,78.93039670202415,78.93039670202415,78.93039670202415,78.93039670202415,79.07340011303313,1.6104166666666666,0.12473159795626998,space,0.0034610950388014317,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
