consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text1.started,scales_images.started,add_question_text2.started,next_slide_text.started,spacebar_continue_7.started,scale_slider.response,spacebar_continue_7.keys,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,33.30584577191621,y,0.06722521409392357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,35.381918813916855,y,0.06054212898015976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.52801692299545,37.52801692299545,37.52801692299545,37.52801692299545,37.52801692299545,37.52801692299545,37.52801692299545,3.8686074550496414,20,5.0,3.855729946983047,,0.00625,-0.40625,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,54.33455941302236,54.33455941302236,54.33455941302236,54.33455941302236,54.33455941302236,54.33455941302236,54.33455941302236,54.33455941302236,54.33455941302236,56.29840483202133,space,0.1245974840130657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.450604739948176,56.450604739948176,56.450604739948176,56.450604739948176,56.450604739948176,56.450604739948176,56.450604739948176,56.450604739948176,56.450604739948176,58.44872679095715,space,0.17199444503057748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.654564235010184,58.654564235010184,58.654564235010184,58.654564235010184,58.654564235010184,58.654564235010184,58.654564235010184,58.654564235010184,58.654564235010184,60.64888097299263,space,0.08429791696835309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.767869401024655,60.767869401024655,60.767869401024655,60.767869401024655,60.767869401024655,60.767869401024655,60.767869401024655,60.767869401024655,60.767869401024655,62.76529400795698,space,0.12068762700073421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.92066042195074,62.92066042195074,62.92066042195074,62.92066042195074,62.92066042195074,62.92066042195074,62.92066042195074,62.92066042195074,62.92066042195074,64.91497280693147,space,0.09073198994155973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.034353155992,65.034353155992,65.034353155992,65.034353155992,65.034353155992,65.034353155992,65.034353155992,65.034353155992,65.034353155992,67.03208719193935,space,0.26933305605780333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.33470248396043,67.33470248396043,67.33470248396043,67.33470248396043,67.33470248396043,67.33470248396043,67.33470248396043,67.33470248396043,67.33470248396043,69.33208303700667,space,0.26543061598204076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.61763933801558,69.61763933801558,69.61763933801558,69.61763933801558,69.61763933801558,69.61763933801558,69.61763933801558,69.61763933801558,69.61763933801558,71.61534950195346,space,0.15849886205978692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,53,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13is,images/pointed_maps_images/13is.jpeg,,,,,,,,,,,,,0,0,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.87739000201691,71.87739000201691,71.87739000201691,71.87739000201691,71.87739000201691,73.88201625598595,1.5520833333333335,2.0169984159292653,space,0.01780579099431634,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,22,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2is,images/pointed_maps_images/2is.jpeg,,,,,,,,,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.94066280196421,73.94066280196421,73.94066280196421,73.94066280196421,73.94066280196421,74.06525176996365,1.5520833333333335,0.24072858598083258,space,0.15033372805919498,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,74,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cs,images/pointed_maps_images/14cs.jpeg,,,,,,,,,,,,,0,2,2,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.25760341598652,74.25760341598652,74.25760341598652,74.25760341598652,74.25760341598652,74.34896424994804,1.5520833333333335,0.07436164806131274,space,0.033883851021528244,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,16,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16in,images/pointed_maps_images/16in.jpeg,,,,,,,,,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4243693909375,74.4243693909375,74.4243693909375,74.4243693909375,74.4243693909375,74.51523878995795,1.5520833333333335,1.1569353640079498,space,1.066523265093565,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,24,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cs,images/pointed_maps_images/4cs.jpeg,,,,,,,,,,,,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.60877362592146,75.60877362592146,75.60877362592146,75.60877362592146,75.60877362592146,75.76492020091973,1.5520833333333335,0.14083281601779163,space,2.616123045096174,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,75,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cn,images/pointed_maps_images/15cn.jpeg,,,,,,,,,,,,,0,5,5,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.41070963791572,78.41070963791572,78.41070963791572,78.41070963791572,78.41070963791572,78.59802821895573,1.5520833333333335,0.33863176801241934,space,0.1412404851289466,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,30,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10is,images/pointed_maps_images/10is.jpeg,,,,,,,,,,,,,0,6,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.77351166296285,78.77351166296285,78.77351166296285,78.77351166296285,78.77351166296285,78.91525892098434,1.5520833333333335,0.2749935279134661,space,0.16573869506828487,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,64,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4is,images/pointed_maps_images/4is.jpeg,,,,,,,,,,,,,0,7,7,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.11669212998822,79.11669212998822,79.11669212998822,79.11669212998822,79.11669212998822,79.21518346399534,1.5520833333333335,0.08681075798813254,space,0.046643054112792015,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,3,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3is,images/pointed_maps_images/3is.jpeg,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.29713022802025,79.29713022802025,79.29713022802025,79.29713022802025,79.29713022802025,79.38195418391842,1.5520833333333335,0.07326860795728862,space,0.04545877198688686,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,79,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cn,images/pointed_maps_images/19cn.jpeg,,,,,,,,,,,,,0,9,9,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.46133109193761,79.46133109193761,79.46133109193761,79.46133109193761,79.46133109193761,79.53197041491512,1.5520833333333335,0.05746353999711573,space,0.05605399201158434,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,48,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cn,images/pointed_maps_images/8cn.jpeg,,,,,,,,,,,,,0,10,10,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.62514837598428,79.62514837598428,79.62514837598428,79.62514837598428,79.62514837598428,79.66559224401135,1.5520833333333335,0.026719492045231164,space,0.06805427896324545,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,80,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20is,images/pointed_maps_images/20is.jpeg,,,,,,,,,,,,,0,11,11,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.77490646997467,79.77490646997467,79.77490646997467,79.77490646997467,79.77490646997467,79.8153666589642,1.5520833333333335,0.02729724394157529,space,0.08298705401830375,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,57,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17is,images/pointed_maps_images/17is.jpeg,,,,,,,,,,,,,0,12,12,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.93018826795742,79.93018826795742,79.93018826795742,79.93018826795742,79.93018826795742,79.96547158795875,1.5520833333333335,0.031503179925493896,space,0.09137415199074894,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,76,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16is,images/pointed_maps_images/16is.jpeg,,,,,,,,,,,,,0,13,13,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.09442891995423,80.09442891995423,80.09442891995423,80.09442891995423,80.09442891995423,80.11536188493483,1.5520833333333335,0.1744589089648798,space,0.2414793079951778,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,20,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20in,images/pointed_maps_images/20in.jpeg,,,,,,,,,,,,,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.39166159101296,80.39166159101296,80.39166159101296,80.39166159101296,80.39166159101296,80.43172696302645,1.5520833333333335,0.028335874085314572,space,0.0993135099997744,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,33,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cn,images/pointed_maps_images/13cn.jpeg,,,,,,,,,,,,,0,15,15,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56336708902381,80.56336708902381,80.56336708902381,80.56336708902381,80.56336708902381,80.5980012579821,1.5520833333333335,0.030964607023634017,space,0.11284022801555693,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,46,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6in,images/pointed_maps_images/6in.jpeg,,,,,,,,,,,,,0,16,16,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.74686024396215,80.74686024396215,80.74686024396215,80.74686024396215,80.74686024396215,80.91534533991944,1.5520833333333335,0.15612425201106817,space,0.12241565901786089,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,44,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cn,images/pointed_maps_images/4cn.jpeg,,,,,,,,,,,,,0,17,17,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07384965498932,81.07384965498932,81.07384965498932,81.07384965498932,81.07384965498932,81.26501454098616,1.5520833333333335,0.29003219900187105,space,0.114640815067105,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,78,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cs,images/pointed_maps_images/18cs.jpeg,,,,,,,,,,,,,0,18,18,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.41468997101765,81.41468997101765,81.41468997101765,81.41468997101765,81.41468997101765,81.53201641398482,1.5520833333333335,0.10431792598683387,space,0.022373258019797504,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,50,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10in,images/pointed_maps_images/10in.jpeg,,,,,,,,,,,,,0,19,19,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5969609839376,81.5969609839376,81.5969609839376,81.5969609839376,81.5969609839376,81.71510943002068,1.5520833333333335,0.10529548209160566,space,0.012386330985464156,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,61,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1in,images/pointed_maps_images/1in.jpeg,,,,,,,,,,,,,0,20,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.76429917302448,81.76429917302448,81.76429917302448,81.76429917302448,81.76429917302448,81.86500649398658,1.5520833333333335,0.08746492094360292,space,0.03798558295238763,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,59,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cs,images/pointed_maps_images/19cs.jpeg,,,,,,,,,,,,,0,21,21,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.94417351298034,81.94417351298034,81.94417351298034,81.94417351298034,81.94417351298034,82.0319032529369,1.5520833333333335,0.07077748200390488,space,0.04146593506447971,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,2,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cn,images/pointed_maps_images/2cn.jpeg,,,,,,,,,,,,,0,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.11666718299966,82.11666718299966,82.11666718299966,82.11666718299966,82.11666718299966,82.19855653995182,1.5520833333333335,0.06941554392687976,space,0.05253352306317538,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,71,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cn,images/pointed_maps_images/11cn.jpeg,,,,,,,,,,,,,0,23,23,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.29280463198666,82.29280463198666,82.29280463198666,82.29280463198666,82.29280463198666,82.36549159197602,1.5520833333333335,0.055789150996133685,space,0.05634754605125636,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,34,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14is,images/pointed_maps_images/14is.jpeg,,,,,,,,,,,,,0,24,24,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.46038735995535,82.46038735995535,82.46038735995535,82.46038735995535,82.46038735995535,82.54855919594411,1.5520833333333335,0.07394640101119876,space,0.05074874102137983,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,55,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cs,images/pointed_maps_images/15cs.jpeg,,,,,,,,,,,,,0,25,25,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.64245361101348,82.64245361101348,82.64245361101348,82.64245361101348,82.64245361101348,82.68170354294125,1.5520833333333335,0.02796149195637554,space,0.09828303102403879,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,6,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cn,images/pointed_maps_images/6cn.jpeg,,,,,,,,,,,,,0,26,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.81037047598511,82.81037047598511,82.81037047598511,82.81037047598511,82.81037047598511,83.0155768779805,1.5520833333333335,0.34100856503937393,space,0.1212704450590536,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,69,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9in,images/pointed_maps_images/9in.jpeg,,,,,,,,,,,,,0,27,27,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.17411885201,83.17411885201,83.17411885201,83.17411885201,83.17411885201,83.3319990489399,1.5520833333333335,0.14012214995454997,space,0.004834727034904063,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,39,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19in,images/pointed_maps_images/19in.jpeg,,,,,,,,,,,,,0,28,28,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.37687336397357,83.37687336397357,83.37687336397357,83.37687336397357,83.37687336397357,83.4984198869206,1.5520833333333335,0.10238607798237354,space,0.04928390204440802,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
,,,,,,11,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11is,images/pointed_maps_images/11is.jpeg,,,,,,,,,,,,,0,29,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5801340759499,83.5801340759499,83.5801340759499,83.5801340759499,83.5801340759499,83.66512176499236,1.5520833333333335,0.07317548303399235,space,0.06677714909892529,,,,,,,,,,,,,,,,,,,,2023-03-22_22h01.07.778,BZ,2022.2.4,None,
